H,M,E,B
0,0,0.03,0
4.00E-06,4.00E-06,0.04,0.25
3.20E-05,3.20E-05,0.05,0.5
0.000108,0.000108,0.06,0.75
0.000256,0.000256,0.07,1
0.0005,0.0005,0.08,
0.000864,0.000864,0.09,
0.001372,0.001372,0.1,
0.002048,0.002048,0.11,
0.002916,0.002916,0.12,
0.004,0.004,0.13,
0.005324,0.005324,0.14,
0.006912,0.006912,0.15,
0.008788,0.008788,0.16,
0.010976,0.010976,0.17,
0.0135,0.0135,0.18,
0.016384,0.016384,0.19,
0.019652,0.019652,0.2,
0.023328,0.023328,0.21,
0.027436,0.027436,0.22,
0.032,0.032,0.23,
0.037044,0.037044,0.24,
0.042592,0.042592,0.25,
0.048668,0.048668,0.26,
0.055296,0.055296,0.27,
0.0625,0.0625,0.28,
0.070304,0.070304,0.29,
0.078732,0.078732,0.3,
0.087808,0.087808,0.31,
0.097556,0.097556,0.32,
0.108,0.108,0.33,
0.119164,0.119164,,
0.131072,0.131072,,
0.143748,0.143748,,
0.157216,0.157216,,
0.1715,0.1715,,
0.186624,0.186624,,
0.202612,0.202612,,
0.219488,0.219488,,
0.237276,0.237276,,
0.256,0.256,,
0.275684,0.275684,,
0.296352,0.296352,,
0.318028,0.318028,,
0.340736,0.340736,,
0.3645,0.3645,,
0.389344,0.389344,,
0.415292,0.415292,,
0.442368,0.442368,,
0.470596,0.470596,,
0.5,0.5,,
